iter	MultiClass
0	0.9720968469
1	0.9330450274
2	0.9189240949
3	0.9140831328
4	0.9125659706
5	0.9121283082
6	0.9120094384
7	0.9119783447
8	0.9119703824
9	0.9119683665
10	0.9119678591
11	0.9119677318
12	0.9119676999
13	0.9119676919
14	0.9119676899
15	0.9119676894
16	0.9119676893
17	0.9119676892
18	0.9119676892
19	0.9119676892
20	0.9119676892
21	0.9119676892
22	0.9119676892
23	0.9119676892
24	0.9119676892
25	0.9119676892
26	0.9119676892
27	0.9119676892
28	0.9119676892
29	0.9119676892
30	0.9119676892
31	0.9119676892
32	0.9119676892
33	0.9119676892
34	0.9119676892
35	0.9119676892
36	0.9119676892
37	0.9119676892
38	0.9119676892
39	0.9119676892
40	0.9119676892
41	0.9119676892
42	0.9119676892
43	0.9119676892
44	0.9119676892
45	0.9119676892
46	0.9119676892
47	0.9119676892
48	0.9119676892
49	0.9119676892
50	0.9119676892
51	0.9119676892
52	0.9119676892
53	0.9119676892
54	0.9119676892
55	0.9119676892
56	0.9119676892
57	0.9119676892
58	0.9119676892
59	0.9119676892
60	0.9119676892
61	0.9119676892
62	0.9119676892
63	0.9119676892
64	0.9119676892
65	0.9119676892
66	0.9119676892
67	0.9119676892
68	0.9119676892
69	0.9119676892
70	0.9119676892
71	0.9119676892
72	0.9119676892
73	0.9119676892
74	0.9119676892
75	0.9119676892
76	0.9119676892
77	0.9119676892
78	0.9119676892
79	0.9119676892
80	0.9119676892
81	0.9119676892
82	0.9119676892
83	0.9119676892
84	0.9119676892
85	0.9119676892
86	0.9119676892
87	0.9119676892
88	0.9119676892
89	0.9119676892
90	0.9119676892
91	0.9119676892
92	0.9119676892
93	0.9119676892
94	0.9119676892
95	0.9119676892
96	0.9119676892
97	0.9119676892
98	0.9119676892
99	0.9119676892
